Indicator,Type,Valid from,Valid until,Source
664403C1688FF6024B444B652D2AEF693845D7C8110A8522C5B304B73888E57C,file,2026-07-20T19:26:55.555Z,2030-09-16T05:00:00.000Z,Defender TI
112.213.124.163,network-traffic,2026-07-20T19:26:57.322Z,2026-08-03T20:14:35.649Z,Defender TI
515760B32C49663EE7C2AB38E9DA66552642369B05A1E405546C52138315557A,file,2026-07-20T19:26:40.661Z,2031-01-12T18:30:00.000Z,Defender TI
112.213.124.159,network-traffic,2026-07-20T19:27:06.911Z,2026-08-03T20:14:35.648Z,Defender TI
112.213.124.132,network-traffic,2026-07-20T19:27:02.091Z,2026-08-03T20:14:35.651Z,Defender TI
49C827CF48EFB122A9D6FD87B426482B7496CCD4A2DBCA31EBBF6B2B80C98530,file,2026-07-20T19:26:58.351Z,2032-02-28T05:00:00.000Z,Defender TI
