"type","value","source"
"ip","109.234.36.135","public"
"ip","199.247.13.106","public"
"domain","carrier-packets.com","public"
"domain","nextgen223.com","public"
"domain","ratecnf.com","public"
"domain","scarecrow.metalseed.you2.pl","public"
"domain","sweetseedsbeep.com","public"
"hash_sha256","32EAD9CD1F4925C8F10B9C04D0AA8B874277495104D9B8ADFE7BB42583E51218","public"
"hash_sha256","7107C110E4694F50A39A91F8497B9F0E88DBE6A3FACE0D2123A89BCEBF241A1D","public"
