Indicator,Type,Valid from,Valid until,Source
C5AED4C063D4970A03250778DA8041DA9E0C83D8F22D2F1994DA0AD72567EBD9,file,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
ldb.rightwidth.dev,domain-name,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
file.rightwidth.dev,domain-name,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
controller.rightwidth.dev,domain-name,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
3E6360F83A95540AA2176D279CA4694513AFB1E5116A7FFE591C6B5BCF3B9C3C,file,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
rightwidth.dev,domain-name,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
086273CD91F3D6556ED2AF915DF310E4B184B3DB84C3903AA09830D49D1FBB62,file,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
0A19870BA24AEB9D4B5DDE091EF8071D76F8A5E43AC8C6F5B9F283020580A60A,file,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
16735CB80D796865B2430AA11D21A539FCB00B027932F2C63E4B5C098D26585B,file,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
3250ADBCA0A0BFEAB8BD88EE93B603BE31FC86B341FD77A152B4843416560D53,file,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
337E92C233EDC38842C6122FA38E0E84A478F5AA5AF2A95CA6BE3CA056D925B8,file,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
33A12C2328DB22429C4A515400A57FFEAF7AEC48A2A3C299AB6F1CE2D2B0E87D,file,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
35FEEF0E6806C14F4CCDB4FCEFF8A5757956C50FB5EC9644DEDAE665304F9F96,file,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
3C181F642E24C28602A87BE7F195E2F3D1FFA30B37E20F5121D99F88B22AB80E,file,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
3F31AEE0948D16F8D64BF6BEC69A4331099993E502B11BFC56B2C0112024489D,file,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
41AA04782E436345EF45DC159321D5C0E0E5CBA300E55A4D1D3194E5C7C5FD97,file,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
444F1C0C82B3F6CC31D685BAC68B20EDBDE5722CE219AF9CCEAB0C2A6537EFC1,file,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
4457ED2E5EF770F70596735A6BAC03F78E426A548335742AC761FBA60F987A26,file,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
45C8CBAEB5C7708E7B8030E701747C65203958E82EDDC41F39E0CA93BD36C114,file,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
46DEA8C1AF85134A7B15FC7168386EADD15474B1A6159567B24E83D8A30FC6EF,file,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
