Indicator,Type,Valid from,Valid until,Source
513A1A0A38E496A52B8D78728EF2E356A20E547D6A5E1CBE95398D714A25AFD7,file,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
586F27257D3EAEE7D4BEC9E9207C317A9CAEDED95ECA3969739D7E8181D24620,file,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
58AEC6E3835AAF20F7B4A7E308B36A19E7454673A6F71783871E9BCF6CAE8EED,file,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
59AD96DD3B4D5F10A5C53BBD465446E52DC7701A4AC633632F762BF1336D3347,file,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
5CAE5202DDCC29F19F954D81BA138F11B8A4080D05FEF63C05A00B9242C06967,file,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
5D585F2B24503A96011BBE928F42B1B663946E822B309F8496573C66B5EE834C,file,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
652346C05123B4C9556C27F5C5EFC4BCD941DD66957E3797C6751246A2BFF9C6,file,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
66DBE675480DC229E5B3AB8AD74207F73486E64E57805074F784BB2E01BCB865,file,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
6922B319DC96D020738BCF466C4D6D9233E4767B68592E1FD9258A232F166CE1,file,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
6ADF68448B8541E3CBE4A471845CB6C2AC07613F08698567E5ED76DC2A921834,file,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
6C23B7723A9F69EA48F02C8FE13FD60ECBFC2FB28E32E481C46EC968A66C66CD,file,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
6C7619C34497F430C4F7618CFEFE07D1DEFACFAE48F6730C20F52E7A7344FAA9,file,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
6DBD6F9F2FA636C16AC4FA81418B68A604424861B9650DD9C4F2B0BA6F67D6AC,file,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
726E7FE23560FE03EA36163D5F510B494F41A78BF811C92FF219F64B4BFE2BE0,file,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
86A6FFA23E924D1AFBFB31B55FE780916CF3C9A4F8C3165542FDD726783FC796,file,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
8AC88AEECD19D842729F000C6AB732261CB11DD15CDCBB2DD137DC768B2F12BC,file,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
8AD109DA60E31FC714CF2FB2791B36FDD5817ABF62B6022C290538C770CFACAC,file,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
9733A3F6409DE81271F21993C7F8B9865AC9F5C68C3D4336E91AFE6B312477EB,file,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
9A2D714DDD5C48722C35DF8A70E97F12D46BCDE05DC79B7242A7E692BD346826,file,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
A3A0ACED0F3C13B0B9890EC74802A1CB4936BCCFAF5E8A6A52F555C82E09D92F,file,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
A3C5C7253C0B3ED92E86DC5661D8530A0E8ACDF8768E80362E5FE897CCB6CD84,file,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
A6FB779BE35592FB0FF624A8F8E12AB3CAFE7BCFC312CD98263814DB7FB01E02,file,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
A955D7E2819D5FA8B5F879CB970E1A1A91327098A7383F2A03A5E1E7E19435E3,file,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
B7B322F4638EAD5C39031FFC7CA8C791C8D47211B09449F7CEB49F0C32A19B45,file,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
BE7B80F42B0D859B7AFAEEFCA04E46DC10FB5C0A532692BBBFEF2924254D1175,file,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
BF3B4E645A3C0C23F87C55971069014F7424AD14497371EE7567EFF68FFAF343,file,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
C455C02CA6B3844027E05D941830DE97753C3966DD57C5FA9F1938D8CD1CCA3B,file,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
C4E2AF286EE2ED12375BB66A5BFF1A9D3BB5A6579842BC3A28AC00DFAE195ADC,file,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
C4E55E9E6837DE01F0DADC7DB299ABD48630BF115A442F09EA0C6A593C559E6F,file,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
CC9839F9053CF5D57608DA5C8706EA710B4878B57FE86B47B83B5FB941C1DF12,file,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
CCB6BE9211B3946D290E8B23497B8F0E6AC045D1DCDE4AAAE424680E9029E4EB,file,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
D2E1AB10D5A0C16A724AEDA8ACB46B38F551ADE58137969C3BC3C9CDC0A12425,file,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
D5590802BF0926AC30D8E31C0911439C35AEAD82BF17771CFD1F9A785A7BF143,file,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
D5DEA9A51B984BE9D7FA76E3E8FF89CFB97C335927331E8E348B9EE269070C1B,file,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
DAB9FA146257BB0F32EBF7B2B3D8A7B3F16464DC350229F491BE4A080FE1A0E0,file,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
DF1AB9210252AD76E3451EEB287747AF510658AFEB82B22E20BEA1C6DDC55131,file,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
E3153CED59BB0376186B0EEE0EC68F0B5AA9AE5820EF8508AE4E67625E1A3581,file,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
E481D16E51F90C4CC0E7096284B53EEF06F7EE8B37A03D92734521D8BCA24409,file,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
E6D66D192A779F195426DB94D2568C03A9BD0D2E8F1972AA32A0317940AE19C2,file,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
E82ECBE3823046A27D8C39CC0A4ACB498F415549946C9FF0E241838B34ED5A21,file,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
F3F4DE7EB30C01044AD3C7F2C22376D0AB6F6DC60EF6AEE3CDE75FD33FBDDACC,file,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
FF791FE1532A2DC3B3C188A71BFD0177F973EF228E4D1DDA1DB6D3C4B0D62B3E,file,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
0zbqnac1t4dv2t2wuodv1m.com,domain-name,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
ahdaratlegalservices.com,domain-name,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
assessmentevaluationreport.com,domain-name,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
aurekh.com,domain-name,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
barifurniture.net,domain-name,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
cal.joycedoula.com.br,domain-name,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
cal.snehamumbai.org,domain-name,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
consistenthostinghub.de,domain-name,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
corporatetermscompliance.com,domain-name,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
dlrz-web.oss-cn-beijing.aliyuncs.com,domain-name,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
esignidentification.com,domain-name,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
evergreenhostingoptions.de,domain-name,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
gatuso.duckdns.org,domain-name,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
gouvvbo.top,domain-name,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
innovativegrowthstrategy.de,domain-name,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
license.claude-pro.com,domain-name,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
paysolutions.ink,domain-name,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
q1evaluationperformance.net,domain-name,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
reliablecontinuitysolutions.de,domain-name,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
satoriestate.com,domain-name,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
screenly.cam,domain-name,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
sohantraders.com,domain-name,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
solidhostingservices.de,domain-name,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
sustainablegrowthlaunch.de,domain-name,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
sylverixstrategy.com,domain-name,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
testserveren.com,domain-name,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
thedolphinx.top,domain-name,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
update-crowdstrike.com,domain-name,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
update-sentinelone.com,domain-name,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
update-trellix.com,domain-name,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
vertextrust-advisors.com,domain-name,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
vresortsliving.com,domain-name,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
xtrafftrck.net,domain-name,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
http://faeytrdeaw.gu.cc,url,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
http://figyuyrqwr.gu.cc,url,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
http://fiusyevr.live,url,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
http://fuaytrwese.love,url,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
http://hfyuayustrv.gu.cc,url,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
http://hsahyteiows.gu.cc,url,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
http://jaiydteds.love,url,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
http://jsiruytrawey.gu.cc,url,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
http://kawosyetw.gu.cc,url,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
http://kawuuterta.gu.cc,url,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
http://laiwutrencr.gu.cc,url,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
http://lasiduutfe.gu.cc,url,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
http://lisiutegrm.live,url,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
http://maisytawe.gu.cc,url,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
http://mksfuuerwo.live,url,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
http://ncduuyese.live,url,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
http://nciyeyrawoe.gu.cc,url,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
http://nviuawusye.gu.cc,url,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
http://nvsieyrrawe.gu.cc,url,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
http://paiwudyea.love,url,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
http://pmcjsuyraw.gu.cc,url,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
http://qeuasytua.love,url,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
http://svuatwea.love,url,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
http://syfiaydytea.live,url,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
http://viuyeyrwqs.gu.cc,url,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
http://vusuydryt.love,url,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
http://xkcifgieusr.gu.cc,url,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
http://xnbscuya.love,url,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
http://xuastyrdqk.love,url,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
http://yicoweytcbtw.gu.cc,url,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
https://almacensantangel.com/wp-includes/assets/YourSSA_Documents_0000000676152_05_187_2026_Document_0000000676152.rar,url,2026-07-27T19:03:31.417Z,2027-07-22T06:00:00.000Z,Defender TI
https://digital-magicians.com/photo295825092412.zip?_r=ea623202,url,2026-07-27T19:03:48.474Z,2031-07-22T06:00:00.000Z,Defender TI
https://fvxcuvuyte.live,url,2026-07-27T19:03:31.278Z,2027-07-22T06:00:00.000Z,Defender TI
https://hsauyeet.live,url,2026-07-27T19:03:29.508Z,2027-07-22T06:00:00.000Z,Defender TI
https://kdsuyrse.live,url,2026-07-27T19:03:35.223Z,2027-07-22T06:00:00.000Z,Defender TI
https://oakwusya.love,url,2026-07-27T19:03:29.449Z,2031-07-22T06:00:00.000Z,Defender TI
